                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.5237,                  3.058,                 1.1555,                 0.1142,                0.25251,                0.20657,                0.06375,                 2.2117,                 3.0767,                 1.0987,                0.00032,                0.00032,                0.00032
                      1,                  2.356,                 1.4619,                0.99714,                0.44862,                0.51013,                0.47887,                0.19289,                 2.2814,                  2.173,                 1.0685,             0.00065347,             0.00065347,             0.00065347
                      2,                 2.3444,                 1.1574,                0.98406,                  0.744,                0.35841,                 0.4652,                0.19237,                 2.3982,                 2.0419,                 1.1249,              0.0009802,              0.0009802,              0.0009802
                      3,                 2.2269,                 1.0375,                0.95948,                0.67256,                0.47296,                0.49948,                 0.1943,                 2.3815,                 1.3847,                 1.0989,              0.0013002,              0.0013002,              0.0013002
                      4,                 2.1532,                0.97307,                0.95367,                0.68235,                0.49797,                 0.5406,                0.24575,                 2.1705,                 1.3603,                  1.061,              0.0016135,              0.0016135,              0.0016135
                      5,                 2.1501,                 1.0069,                0.95602,                0.73358,                0.51703,                0.55333,                0.22427,                 2.2574,                 1.3778,                 1.0662,               0.001901,               0.001901,               0.001901
                      6,                 1.9506,                0.94412,                0.94702,                0.77019,                0.56165,                0.61786,                0.27368,                 2.0801,                 1.0624,                 1.0463,               0.001901,               0.001901,               0.001901
                      7,                 2.0593,                0.89308,                0.95848,                0.77255,                0.55136,                0.62157,                0.28347,                 2.0808,                 1.0843,                 1.0419,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.0228,                0.94387,                0.95279,                0.77785,                0.58028,                0.64649,                0.29021,                 2.0491,                 1.0326,                  1.036,              0.0018614,              0.0018614,              0.0018614
                      9,                 1.9825,                0.94935,                0.94892,                0.82665,                0.64564,                0.70424,                0.34071,                 1.9167,                0.92996,                 1.0017,              0.0018416,              0.0018416,              0.0018416
                     10,                 1.8659,                0.83267,                0.94492,                 0.7618,                0.62678,                0.66991,                0.31321,                 1.9244,                0.94777,                  1.004,              0.0018218,              0.0018218,              0.0018218
                     11,                  1.921,                0.87015,                0.94452,                0.78824,                 0.6485,                0.70247,                0.33611,                 1.9114,                0.93473,                0.98368,               0.001802,               0.001802,               0.001802
                     12,                 1.8937,                0.84453,                0.93792,                0.82146,                0.64743,                0.70061,                0.34129,                 1.9145,                0.90456,                 1.0104,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.8702,                0.80514,                0.93168,                0.84574,                0.66782,                0.72519,                0.35749,                 1.8982,                0.87401,                 1.0001,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.8889,                0.84272,                0.92932,                0.81263,                0.63293,                0.70237,                 0.3497,                 1.8637,                0.90024,                0.99943,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.8484,                0.80974,                0.93122,                0.79427,                0.56583,                0.65389,                0.32294,                 1.9353,                0.99288,                 1.0153,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.8768,                0.83035,                0.92566,                0.81525,                0.60882,                0.68089,                 0.3332,                 1.9605,                0.99331,                 1.0063,               0.001703,               0.001703,               0.001703
                     17,                 1.8723,                0.82374,                0.93005,                0.83901,                0.66403,                0.73009,                0.36191,                 1.8703,                0.91647,                0.99232,              0.0016832,              0.0016832,              0.0016832
                     18,                  1.792,                0.79425,                0.92862,                 0.8611,                 0.6874,                 0.7456,                0.36009,                 1.8696,                0.85149,                0.99704,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.8465,                0.84092,                0.92596,                0.82555,                0.67638,                0.73041,                0.36131,                 1.8542,                0.90612,                0.99702,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.8616,                0.80758,                0.91497,                0.86204,                0.69572,                0.73829,                0.36047,                 1.8714,                0.90706,                0.99949,              0.0016238,              0.0016238,              0.0016238
                     21,                  1.855,                0.84516,                0.92252,                0.83387,                0.68086,                0.73317,                0.34868,                  1.884,                0.87896,                 1.0067,               0.001604,               0.001604,               0.001604
                     22,                 1.9094,                 0.8701,                0.94753,                0.86186,                0.69617,                0.74756,                0.36643,                  1.864,                0.87703,                0.98741,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.8723,                0.81415,                0.91519,                0.85761,                0.68335,                0.73523,                0.36502,                 1.8513,                0.84579,                0.98582,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.8456,                0.80776,                0.92307,                0.84705,                0.69272,                0.74856,                 0.3586,                 1.8325,                0.83859,                0.97741,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.8255,                0.79756,                0.93371,                0.85763,                0.69577,                0.75307,                0.38242,                 1.8123,                0.81847,                0.97972,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.7677,                 0.7701,                 0.9214,                0.85886,                0.68725,                0.74874,                0.38341,                 1.7965,                0.82246,                0.97912,               0.001505,               0.001505,               0.001505
                     27,                 1.7948,                0.78916,                0.91191,                0.83311,                0.66463,                0.71735,                0.35808,                 1.8739,                0.87876,                0.99024,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.8773,                0.78531,                0.92286,                0.81763,                0.65706,                0.70417,                 0.3186,                 1.8835,                0.89393,                0.98953,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.7831,                0.80884,                0.92862,                0.85561,                0.69975,                0.74688,                0.37476,                 1.8297,                0.82563,                0.97925,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.8912,                0.80394,                0.92421,                0.83815,                0.67087,                0.73891,                0.35113,                 1.8494,                0.85663,                0.97702,              0.0014258,              0.0014258,              0.0014258
                     31,                  1.803,                0.85131,                0.92308,                0.87176,                0.70254,                0.75783,                0.37407,                 1.8478,                 0.8191,                0.98043,               0.001406,               0.001406,               0.001406
                     32,                  1.831,                0.75119,                 0.9223,                0.86346,                0.70247,                0.75831,                0.37519,                 1.8201,                0.81888,                0.97604,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.7397,                 0.7492,                0.90494,                0.83761,                0.69658,                0.74904,                0.37807,                 1.8138,                0.81156,                0.97604,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.7282,                0.75545,                 0.9115,                0.86633,                 0.7058,                 0.7613,                 0.3889,                  1.791,                0.81306,                0.97395,              0.0013466,              0.0013466,              0.0013466
                     35,                  1.813,                 0.7641,                0.90725,                0.87344,                 0.7061,                0.76495,                0.39788,                 1.7822,                0.79187,                0.97478,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.7275,                0.75821,                0.90893,                0.86065,                0.70289,                0.75941,                0.38745,                 1.7788,                0.79679,                 0.9817,               0.001307,               0.001307,               0.001307
                     37,                 1.7613,                 0.8088,                 0.9035,                0.87538,                0.70472,                0.76562,                0.39198,                 1.8026,                0.78054,                0.97455,              0.0012872,              0.0012872,              0.0012872
                     38,                  1.774,                0.74906,                0.90864,                0.86996,                0.70659,                0.76527,                0.39364,                 1.8004,                0.78381,                0.97754,              0.0012674,              0.0012674,              0.0012674
                     39,                  1.759,                0.74766,                0.93958,                0.87803,                0.72223,                0.77649,                0.40228,                 1.7614,                0.77279,                0.96966,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.6741,                0.74178,                0.91231,                0.85584,                0.68807,                0.74964,                0.38405,                 1.7978,                0.80964,                0.98009,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.7068,                0.72365,                0.90388,                0.88004,                0.70388,                0.76243,                0.38636,                  1.805,                0.80966,                0.97894,               0.001208,               0.001208,               0.001208
                     42,                 1.8426,                0.81854,                0.94705,                0.84986,                 0.6809,                0.75152,                0.37908,                 1.8056,                0.82024,                0.98204,              0.0011882,              0.0011882,              0.0011882
